"","PlotID","sr","shan"
"1","FOR1-HIGH01",4,1.38629436111989
"2","FOR1-HIGH03",6,1.79175946922805
"3","FOR1-HIGH04",8,2.07944154167984
"4","FOR1-LOW01",6,1.79175946922805
"5","FOR1-LOW02",3,1.09861228866811
"6","FOR1-LOW05",3,1.09861228866811
"7","FOR1-MED01",6,1.79175946922805
"8","FOR1-MED02",6,1.79175946922805
"9","FOR1-MED05",4,1.38629436111989
"10","FOR10-HIGH02",6,1.79175946922805
"11","FOR10-HIGH04",8,2.07944154167984
"12","FOR10-HIGH05",9,2.19722457733622
"13","FOR10-MED01",13,2.56494935746154
"14","FOR10-MED03",11,2.39789527279837
"15","FOR10-MED05",9,2.19722457733622
"16","FOR11-HIGH01",9,2.19722457733622
"17","FOR11-HIGH02",8,2.07944154167984
"18","FOR11-HIGH06",5,1.6094379124341
"19","FOR11-LOW01",2,0.693147180559945
"20","FOR11-LOW04",1,0
"21","FOR11-LOW06",6,1.79175946922805
"22","FOR11-MED03",9,2.19722457733622
"23","FOR11-MED04",9,2.19722457733622
"24","FOR11-MED05",3,1.09861228866811
"25","FOR2-HIGH01",10,2.30258509299405
"26","FOR2-HIGH03",3,1.09861228866811
"27","FOR2-HIGH06",6,1.79175946922805
"28","FOR2-LOW01",7,1.94591014905531
"29","FOR2-LOW02",10,2.30258509299405
"30","FOR2-LOW04",5,1.6094379124341
"31","FOR2-MED01",5,1.6094379124341
"32","FOR2-MED03",6,1.79175946922805
"33","FOR2-MED04",8,2.07944154167984
"34","FOR3-HIGH01",6,1.79175946922805
"35","FOR3-HIGH03",7,1.94591014905531
"36","FOR3-HIGH06",4,1.38629436111989
"37","FOR3-LOW03",3,1.09861228866811
"38","FOR3-LOW04",3,1.09861228866811
"39","FOR3-LOW05",7,1.94591014905531
"40","FOR3-MED03",8,2.07944154167984
"41","FOR3-MED04",10,2.30258509299405
"42","FOR3-MED05",5,1.6094379124341
"43","FOR4-HIGH02",4,1.38629436111989
"44","FOR4-HIGH03",13,2.56494935746154
"45","FOR4-HIGH04",10,2.30258509299405
"46","FOR4-LOW01",2,0.693147180559945
"47","FOR4-LOW02",1,0
"48","FOR4-LOW04",10,2.30258509299405
"49","FOR4-MED01",10,2.30258509299405
"50","FOR4-MED02",14,2.63905732961526
"51","FOR4-MED05",8,2.07944154167984
"52","FOR5-HIGH02",4,1.38629436111989
"53","FOR5-HIGH03",7,1.94591014905531
"54","FOR5-HIGH05",5,1.6094379124341
"55","FOR5-LOW01",3,1.09861228866811
"56","FOR5-LOW02",5,1.6094379124341
"57","FOR5-MED01",1,0
"58","FOR5-MED02",9,2.19722457733622
"59","FOR5-MED04",4,1.38629436111989
"60","FOR6-HIGH01",10,2.30258509299405
"61","FOR6-HIGH02",4,1.38629436111989
"62","FOR6-HIGH03",4,1.38629436111989
"63","FOR6-LOW02",1,0
"64","FOR6-LOW03",9,2.19722457733622
"65","FOR6-LOW05",1,0
"66","FOR6-MED01",3,1.09861228866811
"67","FOR6-MED03",5,1.6094379124341
"68","FOR6-MED05",7,1.94591014905531
"69","FOR7-HIGH01",6,1.79175946922805
"70","FOR7-HIGH04",4,1.38629436111989
"71","FOR7-HIGH05",5,1.6094379124341
"72","FOR7-LOW03",6,1.79175946922805
"73","FOR7-LOW06",4,1.38629436111989
"74","FOR7-LOW07",4,1.38629436111989
"75","FOR7-MED06",6,1.79175946922805
"76","FOR8-HIGH02",2,0.693147180559945
"77","FOR8-HIGH03",9,2.19722457733622
"78","FOR8-HIGH04",8,2.07944154167984
"79","FOR8-LOW02",3,1.09861228866811
"80","FOR8-LOW03",5,1.6094379124341
"81","FOR8-MED01",7,1.94591014905531
"82","FOR8-MED02",7,1.94591014905531
"83","FOR8-MED03",4,1.38629436111989
"84","FOR9-HIGH01",13,2.56494935746154
"85","FOR9-HIGH02",10,2.30258509299405
"86","FOR9-HIGH03",5,1.6094379124341
"87","FOR9-LOW01",5,1.6094379124341
"88","FOR9-LOW02",5,1.6094379124341
"89","FOR9-LOW04",3,1.09861228866811
"90","FOR9-MED01",7,1.94591014905531
"91","FOR9-MED02",4,1.38629436111989
"92","FOR9-MED03",5,1.6094379124341
